Date,^GSPC,MSFT,AAPL,AMZN,GOOGL,TSLA,GOOG,META,NVDA,BRK-B,JPM
2022-02-18,4348.8701171875,285.8468933105469,166.5465545654297,152.60150146484375,130.4029998779297,285.6600036621094,130.46749877929688,206.16000366210938,236.25955200195312,314.79998779296875,148.36895751953125
2022-02-22,4304.759765625,285.6384582519531,163.57997131347656,150.19749450683594,129.81350708007812,273.84332275390625,129.40249633789062,202.0800018310547,233.74127197265625,314.1600036621094,148.10565185546875
2022-02-23,4225.5,278.2423400878906,159.34912109375,144.82699584960938,127.58799743652344,254.67999267578125,127.58499908447266,198.4499969482422,223.71807861328125,309.989990234375,145.00448608398438
2022-02-24,4288.7001953125,292.4587097167969,162.00709533691406,151.35800170898438,132.6909942626953,266.92333984375,132.67349243164062,207.60000610351562,237.31884765625,308.2799987792969,140.96710205078125
2022-02-25,4384.64990234375,295.1590881347656,164.1075897216797,153.7884979248047,134.45950317382812,269.9566650390625,134.51950073242188,210.47999572753906,241.40606689453125,319.239990234375,144.3023223876953
2022-02-28,4373.93994140625,296.62835693359375,164.37637329101562,153.56300354003906,135.0570068359375,290.1433410644531,134.89100646972656,211.02999877929688,243.6845245361328,321.45001220703125,138.28526306152344
2022-03-01,4306.259765625,292.816162109375,162.4650115966797,151.14199829101562,134.06149291992188,288.1233215332031,134.16799926757812,203.49000549316406,234.61068725585938,316.8399963378906,133.06787109375
2022-03-02,4386.5400390625,298.01824951171875,165.8098907470703,152.05250549316406,134.57150268554688,293.2966613769531,134.75149536132812,208.11000061035156,242.07687377929688,323.6400146484375,135.82772827148438
2022-03-03,4363.490234375,293.7791442871094,165.4813690185547,147.89849853515625,133.89950561523438,279.7633361816406,134.30799865722656,202.97000122070312,237.01943969726562,327.739990234375,134.86224365234375
2022-03-04,4328.8701171875,287.762939453125,162.43515014648438,145.64100646972656,131.906494140625,279.42999267578125,132.1219940185547,200.05999755859375,229.243408203125,325.3399963378906,131.0686798095703
2022-03-07,4201.08984375,276.8921813964844,158.5825958251953,137.4530029296875,126.37850189208984,268.1933288574219,126.4645004272461,187.47000122070312,213.4114532470703,322.7200012207031,126.00733184814453
2022-03-08,4170.7001953125,273.85430908203125,156.73095703125,136.01449584960938,127.10449981689453,274.79998779296875,127.27850341796875,190.2899932861328,215.03062438964844,318.5199890136719,125.11988067626953
2022-03-09,4277.8798828125,286.4128112792969,162.2161407470703,139.2790069580078,133.4199981689453,286.3233337402344,133.86599731445312,198.5,230.0229949951172,325.3999938964844,130.13247680664062
2022-03-10,4259.52001953125,283.5238342285156,157.8061065673828,146.8175048828125,132.42950439453125,279.4333190917969,132.6820068359375,195.2100067138672,226.46481323242188,325.29998779296875,128.59164428710938
2022-03-11,4204.31005859375,278.0437927246094,154.0331573486328,145.52450561523438,129.87049865722656,265.1166687011719,130.47549438476562,187.61000061035156,220.8876495361328,326.6000061035156,125.69525909423828
2022-03-14,4173.10986328125,274.4400634765625,149.94166564941406,141.85299682617188,125.95099639892578,255.4566650390625,126.74099731445312,186.6300048828125,213.19155883789062,329.9800109863281,126.94352722167969
2022-03-15,4262.4501953125,285.07257080078125,154.3915252685547,147.3665008544922,129.197998046875,267.2966613769531,129.66050720214844,192.02999877929688,229.6132049560547,332.54998779296875,129.19625854492188
2022-03-16,4357.85986328125,292.26019287109375,158.8712615966797,153.10400390625,133.28050231933594,280.07666015625,133.6905059814453,203.6300048828125,244.83547973632812,336.1099853515625,134.9695281982422
2022-03-17,4411.669921875,293.0841979980469,159.89663696289062,157.23899841308594,133.83900451660156,290.5333251953125,134.60049438476562,207.83999633789062,247.5341033935547,344.9700012207031,136.67616271972656
2022-03-18,4463.1201171875,298.2564697265625,163.24148559570312,161.25050354003906,136.12550354003906,301.7966613769531,136.80149841308594,216.49000549316406,264.3955078125,342.4100036621094,136.6273956298828
2022-03-21,4461.18017578125,296.9956970214844,164.6352081298828,161.4915008544922,136.10150146484375,307.0533447265625,136.47850036621094,211.49000549316406,267.2041015625,349.6600036621094,136.18853759765625
2022-03-22,4511.60986328125,301.8602294921875,168.05970764160156,164.88900756835938,139.8679962158203,331.32666015625,140.27749633789062,216.64999389648438,265.10516357421875,349.92999267578125,139.08493041992188
2022-03-23,4456.240234375,297.3232727050781,169.44345092773438,163.4080047607422,138.27549743652344,333.03668212890625,138.5034942626953,213.4600067138672,256.2096862792969,348.1600036621094,136.31532287597656
2022-03-24,4520.16015625,301.89996337890625,173.28607177734375,163.64950561523438,141.57200622558594,337.97332763671875,141.31199645996094,219.57000732421875,281.3569030761719,352.3699951171875,137.2027587890625
2022-03-25,4543.06005859375,301.48297119140625,173.93313598632812,164.77349853515625,141.67300415039062,336.8800048828125,141.52149963378906,221.82000732421875,276.77923583984375,358.760009765625,138.40228271484375
2022-03-28,4575.52001953125,308.45220947265625,174.80918884277344,168.99049377441406,141.45550537109375,363.9466552734375,141.9499969482422,223.58999633789062,282.0465393066406,359.57000732421875,137.37831115722656
